iter	Passed	Remaining
1466	5715	773453
1467	5719	773521
1468	5723	773475
1469	5726	773439
1470	5730	773382
1471	5735	773518
1472	5739	773485
1473	5742	773457
1474	5746	773405
1475	5750	773449
1476	5754	773412
1477	5757	773357
1478	5761	773311
1479	5764	773265
1480	5769	773326
1481	5773	773398
1482	5777	773338
1483	5780	773292
1484	5785	773357
1485	5789	773375
1486	5793	773362
1487	5797	773455
1488	5802	773557
1489	5805	773509
1490	5809	773469
1491	5812	773402
1492	5817	773540
1493	5821	773493
1494	5825	773464
1495	5828	773436
1496	5833	773468
1497	5836	773430
1498	5840	773367
1499	5845	773538
1500	5849	773563
1501	5853	773562
1502	5857	773559
1503	5861	773581
1504	5864	773531
1505	5868	773483
1506	5871	773419
1507	5876	773543
1508	5880	773521
1509	5884	773486
1510	5888	773489
1511	5892	773474
1512	5896	773583
1513	5901	773659
1514	5905	773745
1515	5910	773878
1516	5914	773821
1517	5918	773868
1518	5922	773853
1519	5926	773880
1520	5930	773851
1521	5933	773787
1522	5937	773754
1523	5940	773708
1524	5945	773820
1525	5949	773858
1526	5953	773838
1527	5957	773784
1528	5961	773821
1529	5964	773760
1530	5968	773711
1531	5972	773672
1532	5976	773675
1533	5979	773655
1534	5983	773629
1535	5987	773587
1536	5990	773537
1537	5995	773643
1538	5999	773606
1539	6002	773550
1540	6006	773513
1541	6010	773612
1542	6015	773638
1543	6019	773679
1544	6024	773789
1545	6029	773946
1546	6032	773908
1547	6036	773878
1548	6040	773844
1549	6045	774037
1550	6050	774199
1551	6054	774153
1552	6058	774186
1553	6062	774153
1554	6065	774096
1555	6069	774117
1556	6073	774066
1557	6077	774120
1558	6081	774084
1559	6085	774059
1560	6088	774027
1561	6093	774083
1562	6096	774035
1563	6100	774007
1564	6103	773955
1565	6108	774008
1566	6112	774036
1567	6116	773994
1568	6119	773940
1569	6123	773888
1570	6128	774017
1571	6131	774000
1572	6135	773987
1573	6141	774172
1574	6145	774203
1575	6149	774180
1576	6152	774154
1577	6156	774124
1578	6160	774165
1579	6164	774130
1580	6168	774104
1581	6171	774044
1582	6176	774197
1583	6181	774318
1584	6185	774371
1585	6191	774546
1586	6195	774561
1587	6199	774590
1588	6203	774538
1589	6207	774570
1590	6211	774608
1591	6215	774568
1592	6218	774536
1593	6222	774506
1594	6226	774527
1595	6230	774496
1596	6234	774487
1597	6237	774444
1598	6241	774467
1599	6245	774417
1600	6249	774456
1601	6253	774429
1602	6257	774471
1603	6261	774515
1604	6266	774582
1605	6269	774546
1606	6273	774553
1607	6277	774514
1608	6281	774539
1609	6285	774528
1610	6289	774507
1611	6293	774580
1612	6298	774697
1613	6302	774688
1614	6306	774729
1615	6311	774786
1616	6316	774893
1617	6320	774979
1618	6325	775087
1619	6330	775188
1620	6334	775159
1621	6337	775117
1622	6341	775162
1623	6345	775111
1624	6349	775079
1625	6352	775038
1626	6357	775172
1627	6361	775133
1628	6365	775170
1629	6369	775134
1630	6373	775180
1631	6377	775150
1632	6381	775131
1633	6384	775077
1634	6388	775038
1635	6392	775103
1636	6397	775184
1637	6401	775219
1638	6406	775358
1639	6410	775403
1640	6414	775373
1641	6418	775388
1642	6422	775429
1643	6427	775528
1644	6431	775526
1645	6435	775508
1646	6439	775498
1647	6443	775589
1648	6449	775730
1649	6452	775694
1650	6457	775770
1651	6462	775881
1652	6466	775926
1653	6470	775938
1654	6474	775985
1655	6480	776141
1656	6483	776114
1657	6487	776083
1658	6492	776155
1659	6496	776180
1660	6499	776145
1661	6503	776111
1662	6507	776152
1663	6511	776155
1664	6516	776277
1665	6520	776258
1666	6525	776391
1667	6529	776335
1668	6532	776291
1669	6536	776267
1670	6540	776316
1671	6544	776267
1672	6547	776209
1673	6551	776159
1674	6556	776311
1675	6561	776431
1676	6566	776537
1677	6571	776663
1678	6574	776608
1679	6578	776559
1680	6582	776530
1681	6586	776549
1682	6590	776626
1683	6595	776722
1684	6599	776726
1685	6604	776806
1686	6607	776784
